Traceback (most recent call last):
  File "<frozen runpy>", line 198, in _run_module_as_main
  File "<frozen runpy>", line 88, in _run_code
  File "/home/jules/.pyenv/versions/3.12.13/lib/python3.12/http/server.py", line 1329, in <module>
    test(
  File "/home/jules/.pyenv/versions/3.12.13/lib/python3.12/http/server.py", line 1276, in test
    with ServerClass(addr, HandlerClass) as httpd:
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/jules/.pyenv/versions/3.12.13/lib/python3.12/socketserver.py", line 457, in __init__
    self.server_bind()
  File "/home/jules/.pyenv/versions/3.12.13/lib/python3.12/http/server.py", line 1323, in server_bind
    return super().server_bind()
           ^^^^^^^^^^^^^^^^^^^^^
  File "/home/jules/.pyenv/versions/3.12.13/lib/python3.12/http/server.py", line 140, in server_bind
    socketserver.TCPServer.server_bind(self)
  File "/home/jules/.pyenv/versions/3.12.13/lib/python3.12/socketserver.py", line 478, in server_bind
    self.socket.bind(self.server_address)
OSError: [Errno 98] Address already in use
127.0.0.1 - - [13/Mar/2026 22:11:44] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Bar_Menu-2-1.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Bar_Menu-2-10.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Bar_Menu-2-4.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Bar_Menu-2-3.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Bar_Menu-2-11.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Bar_Menu-2-2.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Bar_Menu-2-5.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Bar_Menu-2-6.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Bar_Menu-2-7.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Bar_Menu-2-8.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Bar_Menu-2-9.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Chronicles-1-11.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Chronicles-1-1.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Chronicles-1-2.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Chronicles-1-12.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Chronicles-1-13.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Chronicles-1-3.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Chronicles-1-10.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Chronicles-1-4.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Chronicles-1-6.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Chronicles-1-7.webp HTTP/1.1" 200 -
127.0.0.1 - - [13/Mar/2026 22:11:47] "GET /assets/Drunk_Owl_Chronicles-1-8.webp HTTP/1.1" 200 -
